Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-01-06 05:31:14,IOTABTC,BUY,0.00023605,22,0.0051931,0.022,IOTA
2018-01-05 06:23:51,IOTABTC,BUY,0.00027951,5,0.00139755,0.005,IOTA
2018-01-05 06:23:51,IOTABTC,BUY,0.00027951,56,0.01565256,0.056,IOTA
2018-01-05 06:23:46,IOTABTC,BUY,0.00027951,13,0.00363363,0.013,IOTA
2018-01-04 22:04:47,ADABTC,SELL,0.000082,192,0.015744,0.00001574,BTC
2018-01-04 18:36:43,XRPBTC,SELL,0.0002,60,0.012,0.000012,BTC
2018-01-04 05:32:25,IOTABTC,BUY,0.00026303,16,0.00420848,0.016,IOTA
2018-01-04 05:18:46,XLMBTC,BUY,0.00005822,73,0.00425006,0.073,XLM
2018-01-04 05:07:14,IOTABTC,BUY,0.00025895,19,0.00492005,0.019,IOTA
2017-12-30 04:17:21,ICXBTC,BUY,0.0003812,21.37,0.008146244,0.02137,ICX
2017-12-29 20:28:19,XRPBTC,SELL,0.000135,61,0.008235,0.00000824,BTC
2017-12-29 20:05:49,XRPBTC,BUY,0.0001265,62,0.007843,0.062,XRP
2017-12-28 21:39:18,ELFBTC,BUY,0.00006644,79,0.00524876,0.079,ELF
2017-12-28 05:34:08,XRPBTC,SELL,0.0000825,256,0.02112,0.00002112,BTC
2017-12-27 22:57:28,XRPBTC,BUY,0.000082,256,0.020992,0.256,XRP
2017-12-27 20:35:05,XMRBTC,SELL,0.024186,0.667,0.016132062,0.00001613,BTC
2017-12-26 22:39:52,XMRBTC,BUY,0.022121,0.668,0.014776828,0.000668,XMR
2017-12-26 21:35:54,XVGBTC,SELL,0.000012,1256,0.015072,0.00001507,BTC
2017-12-26 20:18:11,XVGBTC,BUY,0.00001111,1256,0.01395416,1.256,XVG
2017-12-26 20:07:50,WABIBTC,BUY,0.00011017,54,0.00594918,0.054,WABI
2017-12-26 20:07:36,WABIBTC,BUY,0.00011017,2,0.00022034,0.002,WABI
2017-12-26 14:00:19,TRXBTC,SELL,0.00000243,7261,0.01764423,0.00001764,BTC
2017-12-26 06:29:23,TRXBTC,SELL,0.00000242,489,0.00118338,0.00000118,BTC
2017-12-26 05:00:47,TRXBTC,BUY,0.00000227,7758,0.01761066,7.758,TRX
2017-12-26 01:25:31,TRXBTC,SELL,0.00000246,7290,0.0179334,0.00001793,BTC
2017-12-25 23:50:13,TRXBTC,BUY,0.00000233,7298,0.01700434,7.298,TRX
2017-12-25 23:30:19,WABIBTC,BUY,0.0001385,54,0.007479,0.054,WABI
2017-12-25 23:29:27,ELFBTC,BUY,0.00007642,129,0.00985818,0.129,ELF
2017-12-24 15:20:27,XVGBTC,BUY,0.00001717,576,0.00988992,0.576,XVG
2017-12-23 07:10:44,XRPBTC,BUY,0.00007234,140,0.0101276,0.14,XRP
2017-12-23 05:11:56,ADABTC,BUY,0.00002981,670,0.0199727,0.67,ADA
2017-12-21 06:12:09,ICXBTC,BUY,0.000165,47.61,0.00785565,0.04761,ICX
2017-12-20 20:04:33,ICXBTC,BUY,0.0001287,61.23,0.007880301,0.06123,ICX
2017-12-19 20:42:54,XRPBTC,BUY,0.0000429,100,0.00429,0.1,XRP
2017-12-17 05:13:40,NEOBTC,BUY,0.002971,1.94,0.00576374,0.00194,NEO
2017-12-17 04:50:52,WABIBTC,BUY,0.00010904,17,0.00185368,0.017,WABI
2017-12-17 03:15:05,WABIBTC,BUY,0.0001155,22,0.002541,0.022,WABI
2017-12-17 00:57:14,IOTABTC,BUY,0.00018658,18,0.00335844,0.018,IOTA
2017-12-16 22:34:10,XLMBTC,BUY,0.00001107,407,0.00450549,0.407,XLM
2017-12-16 22:20:44,ADABTC,BUY,0.00001951,100,0.001951,0.1,ADA
